driver_name,trip_id,pickup_zone,amount
Alice,T00001,Staten Island,66.64
Ivan,T00002,Brooklyn,15.0
Carlos,T00003,Brooklyn,38.39
Fatima,T00004,Queens,34.98
Carlos,T00005,Manhattan,28.27
Fatima,T00006,Brooklyn,69.39
Ivan,T00007,Bronx,72.5
Ethan,T00008,Queens,66.26
Ivan,T00009,Staten Island,72.68
Diana,T00010,Brooklyn,16.86
Diana,T00011,Queens,65.02
Ivan,T00012,Brooklyn,34.62
Diana,T00013,Manhattan,70.34
Diana,T00014,Queens,51.02
Fatima,T00015,Queens,10.16
Ivan,T00016,Manhattan,39.14
Diana,T00017,Queens,51.78
Julia,T00018,Bronx,44.67
Ethan,T00019,Queens,10.65
Hana,T00020,Brooklyn,63.34
Ivan,T00021,Manhattan,47.97
Alice,T00022,Brooklyn,29.96
Fatima,T00023,Brooklyn,52.48
George,T00024,Queens,8.81
Alice,T00025,Staten Island,65.53
Diana,T00026,Bronx,64.62
Carlos,T00027,Staten Island,63.01
Julia,T00028,Queens,48.38
Ethan,T00029,Manhattan,40.45
George,T00030,Manhattan,71.99
George,T00031,Manhattan,24.02
George,T00032,Manhattan,18.77
Bob,T00033,Manhattan,10.18
Carlos,T00034,Staten Island,17.25
Hana,T00035,Bronx,62.38
Carlos,T00036,Brooklyn,70.56
Carlos,T00037,Manhattan,49.15
Julia,T00038,Staten Island,8.26
George,T00039,Staten Island,58.6
Alice,T00040,Brooklyn,11.18
Alice,T00041,Manhattan,66.41
Ivan,T00042,Bronx,18.31
Alice,T00043,Bronx,8.75
Ethan,T00044,Queens,29.57
Carlos,T00045,Bronx,66.57
Fatima,T00046,Queens,55.87
Alice,T00047,Staten Island,12.26
George,T00048,Brooklyn,49.26
Alice,T00049,Manhattan,43.1
Ivan,T00050,Manhattan,31.49
Carlos,T00051,Staten Island,65.35
Ivan,T00052,Manhattan,14.54
Carlos,T00053,Bronx,45.98
Ethan,T00054,Staten Island,32.42
Julia,T00055,Bronx,53.02
Bob,T00056,Staten Island,48.68
Julia,T00057,Staten Island,40.38
Alice,T00058,Bronx,22.57
Bob,T00059,Brooklyn,15.8
Ivan,T00060,Bronx,25.5
Bob,T00061,Staten Island,37.02
Ethan,T00062,Bronx,62.5
Hana,T00063,Queens,57.08
Ivan,T00064,Queens,63.86
Bob,T00065,Manhattan,58.3
Hana,T00066,Bronx,42.32
Carlos,T00067,Queens,71.53
Ethan,T00068,Queens,66.34
Bob,T00069,Manhattan,57.71
Carlos,T00070,Manhattan,48.82
Diana,T00071,Queens,26.68
Julia,T00072,Queens,49.51
Ethan,T00073,Queens,60.48
Julia,T00074,Bronx,47.24
Fatima,T00075,Staten Island,38.51
George,T00076,Bronx,23.59
Fatima,T00077,Brooklyn,26.02
Diana,T00078,Bronx,65.97
Fatima,T00079,Bronx,13.07
Alice,T00080,Queens,8.46
Carlos,T00081,Brooklyn,19.22
Ivan,T00082,Brooklyn,52.57
Fatima,T00083,Bronx,23.18
Diana,T00084,Bronx,48.07
Carlos,T00085,Staten Island,11.32
Julia,T00086,Queens,74.39
Bob,T00087,Manhattan,44.92
Carlos,T00088,Queens,28.64
Ivan,T00089,Staten Island,34.55
Alice,T00090,Bronx,54.39
Ivan,T00091,Brooklyn,74.98
Bob,T00092,Brooklyn,14.42
Julia,T00093,Brooklyn,24.51
Ethan,T00094,Staten Island,74.92
Julia,T00095,Queens,68.14
Fatima,T00096,Staten Island,42.81
Ethan,T00097,Brooklyn,20.32
Bob,T00098,Bronx,8.72
Diana,T00099,Manhattan,25.53
George,T00100,Brooklyn,68.5
Julia,T00101,Staten Island,44.39
Alice,T00102,Brooklyn,68.91
Diana,T00103,Brooklyn,53.29
Julia,T00104,Bronx,47.7
Bob,T00105,Manhattan,64.08
Julia,T00106,Staten Island,24.63
Ivan,T00107,Staten Island,70.23
George,T00108,Manhattan,54.98
Ivan,T00109,Manhattan,61.43
Hana,T00110,Queens,33.45
George,T00111,Brooklyn,59.29
Alice,T00112,Queens,61.74
Ethan,T00113,Bronx,71.66
Alice,T00114,Bronx,38.23
Hana,T00115,Bronx,12.93
Bob,T00116,Brooklyn,29.37
Fatima,T00117,Manhattan,18.62
Ethan,T00118,Bronx,26.74
Ethan,T00119,Brooklyn,68.83
Julia,T00120,Bronx,40.32
Ivan,T00121,Manhattan,25.09
George,T00122,Brooklyn,62.95
Fatima,T00123,Queens,60.14
Alice,T00124,Staten Island,64.69
Bob,T00125,Brooklyn,42.27
Julia,T00126,Queens,39.72
